population,county,state
9194,Livingston,Kentucky
27102,Logan,Kentucky
8210,Lyon,Kentucky
65418,McCracken,Kentucky
17231,McCreary,Kentucky
9207,McLean,Kentucky
92987,Madison,Kentucky
12161,Magoffin,Kentucky
19273,Marion,Kentucky
31100,Marshall,Kentucky
11195,Martin,Kentucky
17070,Mason,Kentucky
28572,Meade,Kentucky
6489,Menifee,Kentucky
21933,Mercer,Kentucky
10071,Metcalfe,Kentucky
10650,Monroe,Kentucky
28157,Montgomery,Kentucky
13309,Morgan,Kentucky
30622,Muhlenberg,Kentucky
46233,Nelson,Kentucky
7269,Nicholas,Kentucky
23994,Ohio,Kentucky
66799,Oldham,Kentucky
10901,Owen,Kentucky
4415,Owsley,Kentucky
14590,Pendleton,Kentucky
25758,Perry,Kentucky
57876,Pike,Kentucky
12359,Powell,Kentucky
64979,Pulaski,Kentucky
2108,Robertson,Kentucky
16695,Rockcastle,Kentucky
24460,Rowan,Kentucky
17923,Russell,Kentucky
57004,Scott,Kentucky
49024,Shelby,Kentucky
18572,Simpson,Kentucky
19351,Spencer,Kentucky
25769,Taylor,Kentucky
12294,Todd,Kentucky
14651,Trigg,Kentucky
8471,Trimble,Kentucky
14381,Union,Kentucky
132896,Warren,Kentucky
12095,Washington,Kentucky
20333,Wayne,Kentucky
12942,Webster,Kentucky
36264,Whitley,Kentucky
7157,Wolfe,Kentucky
26734,Woodford,Kentucky
62045,"Acadia Parish, Louisiana",
25627,"Allen Parish, Louisiana",
126604,"Ascension Parish, Louisiana",
21891,"Assumption Parish, Louisiana",
40144,"Avoyelles Parish, Louisiana",
37497,"Beauregard Parish, Louisiana",
13241,"Bienville Parish, Louisiana",
127039,"Bossier Parish, Louisiana",
240204,"Caddo Parish, Louisiana",
203436,"Calcasieu Parish, Louisiana",
9918,"Caldwell Parish, Louisiana",
6973,"Cameron Parish, Louisiana",
9494,"Catahoula Parish, Louisiana",
15670,"Claiborne Parish, Louisiana",
19259,"Concordia Parish, Louisiana",
27463,"De Soto Parish, Louisiana",
440059,"East Baton Rouge Parish, Louisiana",
6861,"East Carroll Parish, Louisiana",
19135,"East Feliciana Parish, Louisiana",
33395,"Evangeline Parish, Louisiana",
20015,"Franklin Parish, Louisiana",
22389,"Grant Parish, Louisiana",
69830,"Iberia Parish, Louisiana",
32511,"Iberville Parish, Louisiana",
15744,"Jackson Parish, Louisiana",
432493,"Jefferson Parish, Louisiana",
31368,"Jefferson Davis Parish, Louisiana",
244390,"Lafayette Parish, Louisiana",
97614,"Lafourche Parish, Louisiana",
14892,"LaSalle Parish, Louisiana",
46742,"Lincoln Parish, Louisiana",
140789,"Livingston Parish, Louisiana",
10951,"Madison Parish, Louisiana",
24874,"Morehouse Parish, Louisiana",
38158,"Natchitoches Parish, Louisiana",
390144,"Orleans Parish, Louisiana",
153279,"Ouachita Parish, Louisiana",
23197,"Plaquemines Parish, Louisiana",
21730,"Pointe Coupee Parish, Louisiana",
129648,"Rapides Parish, Louisiana",
8442,"Red River Parish, Louisiana",
20122,"Richland Parish, Louisiana",
23884,"Sabine Parish, Louisiana",
47244,"St. Bernard Parish, Louisiana",
53100,"St. Charles Parish, Louisiana",
10132,"St. Helena Parish, Louisiana",
21096,"St. James Parish, Louisiana",
42837,"St. John the Baptist Parish, Louisiana",
82124,"St. Landry Parish, Louisiana",
53431,"St. Martin Parish, Louisiana",
49348,"St. Mary Parish, Louisiana",
260419,"St. Tammany Parish, Louisiana",
134758,"Tangipahoa Parish, Louisiana",
4334,"Tensas Parish, Louisiana",
110461,"Terrebonne Parish, Louisiana",
22108,"Union Parish, Louisiana",
59511,"Vermilion Parish, Louisiana",
47429,"Vernon Parish, Louisiana",
46194,"Washington Parish, Louisiana",
38340,"Webster Parish, Louisiana",
26465,"West Baton Rouge Parish, Louisiana",
10830,"West Carroll Parish, Louisiana",
15568,"West Feliciana Parish, Louisiana",
13904,"Winn Parish, Louisiana",
108277,Androscoggin,Maine
67055,Aroostook,Maine
295003,Cumberland,Maine
30199,Franklin,Maine
54987,Hancock,Maine
122302,Kennebec,Maine
39772,Knox,Maine
34634,Lincoln,Maine
57975,Oxford,Maine
152148,Penobscot,Maine
16785,Piscataquis,Maine
35856,Sagadahoc,Maine
50484,Somerset,Maine
39715,Waldo,Maine
31379,Washington,Maine
207641,York,Maine
70416,Allegany,Maryland
579234,Anne Arundel,Maryland
827370,Baltimore,Maryland
92525,Calvert,Maryland
33406,Caroline,Maryland
168447,Carroll,Maryland
102855,Cecil,Maryland
163257,Charles,Maryland
31929,Dorchester,Maryland
259547,Frederick,Maryland
29014,Garrett,Maryland
255441,Harford,Maryland
325690,Howard,Maryland
19422,Kent,Maryland
1050688,Montgomery,Maryland
909327,Prince George's,Maryland
50381,Queen Anne's,Maryland
113510,St. Mary's,Maryland
25616,Somerset,Maryland
37181,Talbot,Maryland
151049,Washington,Maryland
103609,Wicomico,Maryland
52276,Worcester,Maryland
593490,"Baltimore city, Maryland",
212990,Barnstable,Massachusetts
124944,Berkshire,Massachusetts
565217,Bristol,Massachusetts
17332,Dukes,Massachusetts
789034,Essex,Massachusetts
70180,Franklin,Massachusetts
466372,Hampden,Massachusetts
160830,Hampshire,Massachusetts
1611699,Middlesex,Massachusetts
11399,Nantucket,Massachusetts
706775,Norfolk,Massachusetts
521202,Plymouth,Massachusetts
803907,Suffolk,Massachusetts
830622,Worcester,Massachusetts
10405,Alcona,Michigan
9108,Alger,Michigan
118081,Allegan,Michigan
28405,Alpena,Michigan
23324,Antrim,Michigan
14883,Arenac,Michigan
8209,Baraga,Michigan
61550,Barry,Michigan
103126,Bay,Michigan
17766,Benzie,Michigan
153401,Berrien,Michigan
43517,Branch,Michigan
134159,Calhoun,Michigan
51787,Cass,Michigan
26143,Charlevoix,Michigan
25276,Cheboygan,Michigan
37349,Chippewa,Michigan
30950,Clare,Michigan
79595,Clinton,Michigan
14029,Crawford,Michigan
35784,Delta,Michigan
25239,Dickinson,Michigan
110268,Eaton,Michigan
33415,Emmet,Michigan
405813,Genesee,Michigan
25449,Gladwin,Michigan
13975,Gogebic,Michigan
93088,Grand Traverse,Michigan
40711,Gratiot,Michigan
45605,Hillsdale,Michigan
35684,Houghton,Michigan
30981,Huron,Michigan
292406,Ingham,Michigan
64697,Ionia,Michigan
25127,Iosco,Michigan
11066,Iron,Michigan
69872,Isabella,Michigan
158510,Jackson,Michigan
265066,Kalamazoo,Michigan
18038,Kalkaska,Michigan
656955,Kent,Michigan
2116,Keweenaw,Michigan
11853,Lake,Michigan
87607,Lapeer,Michigan
21761,Leelanau,Michigan
98451,Lenawee,Michigan
191995,Livingston,Michigan
6229,Luce,Michigan
10799,Mackinac,Michigan
873972,Macomb,Michigan
24558,Manistee,Michigan
66699,Marquette,Michigan
29144,Mason,Michigan
43453,Mecosta,Michigan
22780,Menominee,Michigan
83156,Midland,Michigan
15118,Missaukee,Michigan
150500,Monroe,Michigan
63888,Montcalm,Michigan
9328,Montmorency,Michigan
173566,Muskegon,Michigan
48980,Newaygo,Michigan
1257584,Oakland,Michigan
26467,Oceana,Michigan
20997,Ogemaw,Michigan
5720,Ontonagon,Michigan
23460,Osceola,Michigan
8241,Oscoda,Michigan
24668,Otsego,Michigan
291830,Ottawa,Michigan
12592,Presque Isle,Michigan
24019,Roscommon,Michigan
190539,Saginaw,Michigan
159128,St. Clair,Michigan
60964,St. Joseph,Michigan
41170,Sanilac,Michigan
8094,Schoolcraft,Michigan
68122,Shiawassee,Michigan
52245,Tuscola,Michigan
75677,Van Buren,Michigan
367601,Washtenaw,Michigan
1749343,Wayne,Michigan
33631,Wexford,Michigan
15886,Aitkin,Minnesota
356921,Anoka,Minnesota
34423,Becker,Minnesota
47188,Beltrami,Minnesota
40889,Benton,Minnesota
4991,Big Stone,Minnesota
67653,Blue Earth,Minnesota
25008,Brown,Minnesota
35871,Carlton,Minnesota
105089,Carver,Minnesota
29779,Cass,Minnesota
11800,Chippewa,Minnesota
56579,Chisago,Minnesota
64222,Clay,Minnesota
8818,Clearwater,Minnesota
5463,Cook,Minnesota
11196,Cottonwood,Minnesota
65055,Crow Wing,Minnesota
429021,Dakota,Minnesota
20934,Dodge,Minnesota
38141,Douglas,Minnesota
13653,Faribault,Minnesota
21067,Fillmore,Minnesota
30281,Freeborn,Minnesota
46340,Goodhue,Minnesota
5972,Grant,Minnesota
1265843,Hennepin,Minnesota
18600,Houston,Minnesota
21491,Hubbard,Minnesota
40596,Isanti,Minnesota
45130,Itasca,Minnesota
9846,Jackson,Minnesota
16337,Kanabec,Minnesota
43199,Kandiyohi,Minnesota
4298,Kittson,Minnesota
12229,Koochiching,Minnesota
6623,Lac qui Parle,Minnesota
10641,Lake,Minnesota
3740,Lake of the Woods,Minnesota
28887,Le Sueur,Minnesota
5639,Lincoln,Minnesota
25474,Lyon,Minnesota
35893,McLeod,Minnesota
5527,Mahnomen,Minnesota
9336,Marshall,Minnesota
19683,Martin,Minnesota
23222,Meeker,Minnesota
26277,Mille Lacs,Minnesota
33386,Morrison,Minnesota
40062,Mower,Minnesota
8194,Murray,Minnesota
34274,Nicollet,Minnesota
21629,Nobles,Minnesota
6375,Norman,Minnesota
158293,Olmsted,Minnesota
58746,Otter Tail,Minnesota
14119,Pennington,Minnesota
29579,Pine,Minnesota
9126,Pipestone,Minnesota
31364,Polk,Minnesota
11249,Pope,Minnesota
550321,Ramsey,Minnesota
4055,Red Lake,Minnesota
15170,Redwood,Minnesota
14548,Renville,Minnesota
66972,Rice,Minnesota
9315,Rock,Minnesota
15165,Roseau,Minnesota
199070,St. Louis,Minnesota
149013,Scott,Minnesota
97238,Sherburne,Minnesota
14865,Sibley,Minnesota
161075,Stearns,Minnesota
36649,Steele,Minnesota
9805,Stevens,Minnesota
9266,Swift,Minnesota
24664,Todd,Minnesota
3259,Traverse,Minnesota
21627,Wabasha,Minnesota
13682,Wadena,Minnesota
18612,Waseca,Minnesota
262440,Washington,Minnesota
10897,Watonwan,Minnesota
6207,Wilkin,Minnesota
50484,Winona,Minnesota
138377,Wright,Minnesota
9709,Yellow Medicine,Minnesota
30693,Adams,Mississippi
36953,Alcorn,Mississippi
12297,Amite,Mississippi
18174,Attala,Mississippi
8259,Benton,Mississippi
30628,Bolivar,Mississippi
14361,Calhoun,Mississippi
9947,Carroll,Mississippi
17103,Chickasaw,Mississippi
8210,Choctaw,Mississippi
8988,Claiborne,Mississippi
15541,Clarke,Mississippi
19316,Clay,Mississippi
22124,Coahoma,Mississippi
28065,Copiah,Mississippi
18636,Covington,Mississippi
184945,DeSoto,Mississippi
74897,Forrest,Mississippi
7713,Franklin,Mississippi
24500,George,Mississippi
13586,Greene,Mississippi
20758,Grenada,Mississippi
47632,Hancock,Mississippi
208080,Harrison,Mississippi
231840,Hinds,Mississippi
17010,Holmes,Mississippi
8064,Humphreys,Mississippi
1327,Issaquena,Mississippi
23390,Itawamba,Mississippi
143617,Jackson,Mississippi
16383,Jasper,Mississippi
6990,Jefferson,Mississippi
11128,Jefferson Davis,Mississippi
68098,Jones,Mississippi
9742,Kemper,Mississippi
54019,Lafayette,Mississippi
63343,Lamar,Mississippi
74125,Lauderdale,Mississippi
12586,Lawrence,Mississippi
22786,Leake,Mississippi
85436,Lee,Mississippi
28183,Leflore,Mississippi
34153,Lincoln,Mississippi
58595,Lowndes,Mississippi
106272,Madison,Mississippi
24573,Marion,Mississippi
35294,Marshall,Mississippi
35252,Monroe,Mississippi
9775,Montgomery,Mississippi
29118,Neshoba,Mississippi
21018,Newton,Mississippi
10417,Noxubee,Mississippi
49587,Oktibbeha,Mississippi
34192,Panola,Mississippi
55535,Pearl River,Mississippi
11973,Perry,Mississippi
39288,Pike,Mississippi
32174,Pontotoc,Mississippi
25126,Prentiss,Mississippi
6792,Quitman,Mississippi
155271,Rankin,Mississippi
28124,Scott,Mississippi
4321,Sharkey,Mississippi
26658,Simpson,Mississippi
15916,Smith,Mississippi
18336,Stone,Mississippi
25110,Sunflower,Mississippi
13809,Tallahatchie,Mississippi
28321,Tate,Mississippi
22015,Tippah,Mississippi
19383,Tishomingo,Mississippi
9632,Tunica,Mississippi
28815,Union,Mississippi
14286,Walthall,Mississippi
45381,Warren,Mississippi
43909,Washington,Mississippi
20183,Wayne,Mississippi
9689,Webster,Mississippi
8630,Wilkinson,Mississippi
17955,Winston,Mississippi
12108,Yalobusha,Mississippi
29690,Yazoo,Mississippi
25343,Adair,Missouri
17712,Andrew,Missouri
5143,Atchison,Missouri
25388,Audrain,Missouri
35789,Barry,Missouri
11754,Barton,Missouri
16172,Bates,Missouri
19443,Benton,Missouri
12133,Bollinger,Missouri
180463,Boone,Missouri
87364,Buchanan,Missouri
42478,Butler,Missouri
9020,Caldwell,Missouri
44743,Callaway,Missouri
46305,Camden,Missouri
78871,Cape Girardeau,Missouri
8679,Carroll,Missouri
5982,Carter,Missouri
105780,Cass,Missouri
14349,Cedar,Missouri
7426,Chariton,Missouri
88595,Christian,Missouri
6797,Clark,Missouri
249948,Clay,Missouri
20387,Clinton,Missouri
76745,Cole,Missouri
17709,Cooper,Missouri
23920,Crawford,Missouri
7561,Dade,Missouri
16878,Dallas,Missouri
8278,Daviess,Missouri
12547,DeKalb,Missouri
15573,Dent,Missouri
13185,Douglas,Missouri
29131,Dunklin,Missouri
103967,Franklin,Missouri
14706,Gasconade,Missouri
6571,Gentry,Missouri
293086,Greene,Missouri
9850,Grundy,Missouri
8352,Harrison,Missouri
21824,Henry,Missouri
9544,Hickory,Missouri
4403,Holt,Missouri
10001,Howard,Missouri
40117,Howell,Missouri
10125,Iron,Missouri
703011,Jackson,Missouri
121328,Jasper,Missouri
225081,Jefferson,Missouri
54062,Johnson,Missouri
3959,Knox,Missouri
35723,Laclede,Missouri
32708,Lafayette,Missouri
38355,Lawrence,Missouri
9776,Lewis,Missouri
59013,Lincoln,Missouri
11920,Linn,Missouri
15227,Livingston,Missouri
22837,McDonald,Missouri
15117,Macon,Missouri
12088,Madison,Missouri
8697,Maries,Missouri
28530,Marion,Missouri
3617,Mercer,Missouri
25619,Miller,Missouri
13180,Mississippi,Missouri
16132,Moniteau,Missouri
8644,Monroe,Missouri
11551,Montgomery,Missouri
20627,Morgan,Missouri
17076,New Madrid,Missouri
58236,Newton,Missouri
22092,Nodaway,Missouri
10529,Oregon,Missouri
13615,Osage,Missouri
9174,Ozark,Missouri
15805,Pemiscot,Missouri
19136,Perry,Missouri
42339,Pettis,Missouri
44573,Phelps,Missouri
18302,Pike,Missouri
104418,Platte,Missouri
32149,Polk,Missouri
52607,Pulaski,Missouri
4696,Putnam,Missouri
10309,Ralls,Missouri
24748,Randolph,Missouri
23018,Ray,Missouri
6270,Reynolds,Missouri
13288,Ripley,Missouri
402022,St. Charles,Missouri
9397,St. Clair,Missouri
17894,Ste. Genevieve,Missouri
67215,St. Francois,Missouri
994205,St. Louis,Missouri
22761,Saline,Missouri
4660,Schuyler,Missouri
4902,Scotland,Missouri
38280,Scott,Missouri
8166,Shannon,Missouri
5930,Shelby,Missouri
29025,Stoddard,Missouri
31952,Stone,Missouri
6089,Sullivan,Missouri
55928,Taney,Missouri
25398,Texas,Missouri
20563,Vernon,Missouri
35649,Warren,Missouri
24730,Washington,Missouri
12873,Wayne,Missouri
39592,Webster,Missouri
2013,Worth,Missouri
18289,Wright,Missouri
300576,"St. Louis city, Missouri",
9453,Beaverhead,Montana
13319,Big Horn,Montana
6681,Blaine,Montana
6237,Broadwater,Montana
10725,Carbon,Montana
1252,Carter,Montana
81366,Cascade,Montana
5635,Chouteau,Montana
11402,Custer,Montana
1690,Daniels,Montana
8613,Dawson,Montana
9140,Deer Lodge,Montana
2846,Fallon,Montana
11050,Fergus,Montana
103806,Flathead,Montana
114434,Gallatin,Montana
1258,Garfield,Montana
13753,Glacier,Montana
821,Golden Valley,Montana
3379,Granite,Montana
16484,Hill,Montana
12221,Jefferson,Montana
2007,Judith Basin,Montana
30458,Lake,Montana
69432,Lewis and Clark,Montana
2337,Liberty,Montana
19980,Lincoln,Montana
1664,McCone,Montana
8600,Madison,Montana
1862,Meagher,Montana
4397,Mineral,Montana
119600,Missoula,Montana
4633,Musselshell,Montana
16606,Park,Montana
487,Petroleum,Montana
3954,Phillips,Montana
5911,Pondera,Montana
1682,Powder River,Montana
6890,Powell,Montana
1077,Prairie,Montana
43806,Ravalli,Montana
10803,Richland,Montana
11004,Roosevelt,Montana
8937,Rosebud,Montana
12113,Sanders,Montana
3309,Sheridan,Montana
34915,Silver Bow,Montana
9642,Stillwater,Montana
3737,Sweet Grass,Montana
6147,Teton,Montana
4736,Toole,Montana
696,Treasure,Montana
7396,Valley,Montana
2126,Wheatland,Montana
969,Wibaux,Montana
161300,Yellowstone,Montana
31363,Adams,Nebraska
6298,Antelope,Nebraska
463,Arthur,Nebraska
745,Banner,Nebraska
465,Blaine,Nebraska
5192,Boone,Nebraska
10783,Box Butte,Nebraska
1919,Boyd,Nebraska
2955,Brown,Nebraska
49659,Buffalo,Nebraska
6459,Burt,Nebraska
8016,Butler,Nebraska
26248,Cass,Nebraska
8402,Cedar,Nebraska
3924,Chase,Nebraska
5689,Cherry,Nebraska
8910,Cheyenne,Nebraska
6203,Clay,Nebraska
10709,Colfax,Nebraska
8846,Cuming,Nebraska
10777,Custer,Nebraska
20026,Dakota,Nebraska
8589,Dawes,Nebraska
23595,Dawson,Nebraska
1794,Deuel,Nebraska
5636,Dixon,Nebraska
36565,Dodge,Nebraska
571327,Douglas,Nebraska
1693,Dundy,Nebraska
5462,Fillmore,Nebraska
2979,Franklin,Nebraska
2627,Frontier,Nebraska
4676,Furnas,Nebraska
21513,Gage,Nebraska
1837,Garden,Nebraska
1969,Garfield,Nebraska
1990,Gosper,Nebraska
623,Grant,Nebraska
2356,Greeley,Nebraska
61353,Hall,Nebraska
9324,Hamilton,Nebraska
3380,Harlan,Nebraska
922,Hayes,Nebraska
2762,Hitchcock,Nebraska
10067,Holt,Nebraska
682,Hooker,Nebraska
6445,Howard,Nebraska
7046,Jefferson,Nebraska
5071,Johnson,Nebraska
6495,Kearney,Nebraska
8034,Keith,Nebraska
806,Keya Paha,Nebraska
3632,Kimball,Nebraska
8332,Knox,Nebraska
319090,Lancaster,Nebraska
34914,Lincoln,Nebraska
748,Logan,Nebraska
664,Loup,Nebraska
494,McPherson,Nebraska
35099,Madison,Nebraska
7755,Merrick,Nebraska
4642,Morrill,Nebraska
3519,Nance,Nebraska
6972,Nemaha,Nebraska
4148,Nuckolls,Nebraska
16012,Otoe,Nebraska
2613,Pawnee,Nebraska
2891,Perkins,Nebraska
9034,Phelps,Nebraska
7148,Pierce,Nebraska
33470,Platte,Nebraska
5213,Polk,Nebraska
10724,Red Willow,Nebraska
7865,Richardson,Nebraska
1357,Rock,Nebraska
14224,Saline,Nebraska
187196,Sarpy,Nebraska
21578,Saunders,Nebraska
35618,Scotts Bluff,Nebraska
17284,Seward,Nebraska
5246,Sheridan,Nebraska
3001,Sherman,Nebraska
1166,Sioux,Nebraska
5920,Stanton,Nebraska
5003,Thayer,Nebraska
722,Thomas,Nebraska
7224,Thurston,Nebraska
4158,Valley,Nebraska
20729,Washington,Nebraska
9385,Wayne,Nebraska
3487,Webster,Nebraska
783,Wheeler,Nebraska
13679,York,Nebraska
24909,Churchill,Nevada
2266715,Clark,Nevada
48905,Douglas,Nevada
52778,Elko,Nevada
873,Esmeralda,Nevada
2029,Eureka,Nevada
16831,Humboldt,Nevada
5532,Lander,Nevada
5183,Lincoln,Nevada
57510,Lyon,Nevada
4505,Mineral,Nevada
46523,Nye,Nevada
6725,Pershing,Nevada
4123,Storey,Nevada
471519,Washoe,Nevada
9580,White Pine,Nevada
55916,"Carson City, Nevada",
61303,Belknap,New Hampshire
48910,Carroll,New Hampshire
76085,Cheshire,New Hampshire
31563,Coos,New Hampshire
89886,Grafton,New Hampshire
417025,Hillsborough,New Hampshire
151391,Merrimack,New Hampshire
309769,Rockingham,New Hampshire
130633,Strafford,New Hampshire
43146,Sullivan,New Hampshire
263670,Atlantic,New Jersey
932202,Bergen,New Jersey
445349,Burlington,New Jersey
506471,Camden,New Jersey
92039,Cape May,New Jersey
149527,Cumberland,New Jersey
798975,Essex,New Jersey
291636,Gloucester,New Jersey
672391,Hudson,New Jersey
124371,Hunterdon,New Jersey
367430,Mercer,New Jersey
825062,Middlesex,New Jersey
618795,Monmouth,New Jersey
491845,Morris,New Jersey
607186,Ocean,New Jersey
501826,Passaic,New Jersey
62385,Salem,New Jersey
328934,Somerset,New Jersey
140488,Sussex,New Jersey
556341,Union,New Jersey
105267,Warren,New Jersey
679121,Bernalillo,New Mexico
3527,Catron,New Mexico
64615,Chaves,New Mexico
26675,Cibola,New Mexico
11941,Colfax,New Mexico
48954,Curry,New Mexico
1748,De Baca,New Mexico
218195,Doña Ana,New Mexico
58460,Eddy,New Mexico
26998,Grant,New Mexico
4300,Guadalupe,New Mexico
625,Harding,New Mexico
4198,Hidalgo,New Mexico
71070,Lea,New Mexico
19572,Lincoln,New Mexico
19369,Los Alamos,New Mexico
23709,Luna,New Mexico
71367,McKinley,New Mexico
4521,Mora,New Mexico
67490,Otero,New Mexico
8253,Quay,New Mexico
38921,Rio Arriba,New Mexico
18500,Roosevelt,New Mexico
146748,Sandoval,New Mexico
123958,San Juan,New Mexico
27277,San Miguel,New Mexico
150358,Santa Fe,New Mexico
